Departementet	O
vil	O
så	O
snart	O
denne	O
meldinga	O
er	O
lagd	O
fram	O
,	O
drøfta	O
med	O
styret	O
for	O
Språkrådet	B-ORG
,	O
og	O
med	O
direktøren	O
og	O
fagrådsleiarane	O
,	O
røynslene	O
med	O
den	O
nye	O
modellen	O
for	O
organisering	O
og	O
styring	O
av	O
Språkrådet	B-ORG
for	O
å	O
vurdera	O
om	O
det	O
alt	O
no	O
er	O
behov	O
for	O
justeringar	O
eller	O
tilpassingar	O
.	O
	
Biskop	B-PER
Olav	I-PER
Skjevesland	I-PER
vigsla	O
Skafsåheii	B-ORG
Fjellkyrkje	I-ORG
sundag	O
.	O
	
Men	O
Sælthun	O
meiner	O
det	O
ikkje	O
er	O
nok	O
fisk	O
til	O
å	O
opne	O
elva	O
.	O
	
Helst	O
vil	O
dei	O
byrja	O
med	O
hjerneforskaren	B-ORG
John	B-PER
Stein	I-PER
.	O
	
Noen	O
av	O
episodene	O
i	O
saken	O
mot	O
Bertelsen	B-ORG
skaper	O
inntrykk	O
av	O
anstrengte	O
arbeidsforhold	O
ved	O
Tinghuset	B-ORG
.	O
	
Slik	O
sett	O
ville	O
det	O
vore	O
interessant	O
å	O
vita	O
korleis	O
etikkrådet	O
i	O
oljefondet	O
stiller	O
seg	O
til	O
Telenors	B-ORG
praksis	O
.	O
	
Med	O
gårsdagens	B-ORG
sprintseier	I-ORG
startet	O
Emil	B-PER
Hegle	I-PER
Svendsen	I-PER
først	O
.	O
	
Kidston	B-ORG
hadde	O
selt	O
stoffet	O
til	O
andre	O
.	O
	
Det	O
er	O
ikkje	O
berre	O
at	O
dei	O
melder	O
seg	O
tilgjengeleg	O
,	O
men	O
fleire	O
har	O
veldig	O
lyst	O
til	O
å	O
gjera	O
spesifikke	O
oppgåver	O
,	O
seier	O
Nordbø	B-LOC
.	O
	
«	O
The	O
double	O
»	O
i	O
sin	O
fyrste	O
sesong	O
med	O
RBK	B-ORG
er	O
slett	O
ikkje	O
verst	O
.	O
	
Medan	O
dei	O
fleste	O
uteksaminerte	O
ungdomsskuleelevar	O
startar	O
på	O
ein	O
vidaregåande	O
skule	O
i	O
heimfylket	B-LOC
,	O
har	O
Kristian	B-PER
og	O
Joakim	I-PER
tenkt	O
utanfor	O
boksen	O
og	O
satsa	O
på	O
internasjonale	B-ORG
utdanningar	I-ORG
.	O
	
Det	O
er	O
riktig	O
at	O
vi	O
i	O
Finansdepartementet	B-ORG
har	O
til	O
behandling	O
bl.a.	O
en	O
utredning	O
om	O
flatere	O
skatt	O
.	O
	
Det	O
er	O
som	O
om	O
Cameron	B-PER
har	O
ladd	O
kanonane	O
med	O
hundredollarsetlar	O
som	O
blafrar	O
om	O
øyro	O
på	O
tilskodarane	O
.	O
	
Men	O
det	O
er	O
på	O
høy	O
tid	O
at	O
pasienter	O
begynner	O
å	O
opplyse	O
legene	O
sine	O
om	O
dette	O
,	O
